LG,RF,DTB,AB
0.8509615384615384,0.8493589743589743,0.8782051282051282,0.8285256410256411
0.8477230086986185,0.8461586881943791,0.8767413814613048,0.8264030264030264
"[0.         0.         0.         0.00320513 0.00320513 0.00641026
 0.00641026 0.00961538 0.00961538 0.01282051 0.01282051 0.01602564
 0.01602564 0.03205128 0.03205128 0.03846154 0.03846154 0.04807692
 0.04807692 0.05448718 0.05448718 0.06410256 0.06410256 0.07692308
 0.07692308 0.08653846 0.08653846 0.09294872 0.09294872 0.09615385
 0.09615385 0.10576923 0.10576923 0.13141026 0.13141026 0.17307692
 0.17307692 0.17948718 0.17948718 0.18589744 0.18589744 0.19230769
 0.19230769 0.34615385 0.34615385 1.        ]","[0.         0.         0.         0.00378788 0.00378788 0.00757576
 0.00757576 0.01136364 0.01136364 0.01515152 0.01515152 0.01893939
 0.01893939 0.02651515 0.02651515 0.03030303 0.03030303 0.03409091
 0.03409091 0.04166667 0.04166667 0.04545455 0.04545455 0.05681818
 0.05681818 0.08712121 0.08712121 0.10227273 0.10227273 0.15151515
 0.15151515 1.        ]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.00320513
 0.00320513 0.00641026 0.00641026 0.00961538 0.00961538 0.01282051
 0.01282051 0.01602564 0.01602564 0.01923077 0.01923077 0.02564103
 0.02564103 0.02884615 0.02884615 0.03205128 0.03205128 0.03846154
 0.03846154 0.04487179 0.04487179 0.05448718 0.05448718 0.07051282
 0.07051282 0.07692308 0.07692308 0.09935897 0.09935897 0.1025641
 0.1025641  0.10576923 0.10576923 0.10897436 0.10897436 0.12179487
 0.12179487 0.125      0.125      0.17948718 0.17948718 0.19230769
 0.19230769 0.20192308 0.20192308 0.21794872 0.21794872 0.23397436
 0.23397436 0.26282051 0.26282051 0.29487179 0.29487179 0.45833333
 0.45833333 1.        ]",[0.         0.28205128 1.        ]
"[0.         0.00320513 0.85897436 0.85897436 0.88782051 0.88782051
 0.92628205 0.92628205 0.92948718 0.92948718 0.94230769 0.94230769
 0.94551282 0.94551282 0.94871795 0.94871795 0.95192308 0.95192308
 0.95512821 0.95512821 0.95833333 0.95833333 0.96153846 0.96153846
 0.96474359 0.96474359 0.96794872 0.96794872 0.97115385 0.97115385
 0.97435897 0.97435897 0.9775641  0.9775641  0.98076923 0.98076923
 0.98717949 0.98717949 0.99038462 0.99038462 0.99358974 0.99358974
 0.99679487 0.99679487 1.         1.        ]","[0.         0.00277778 0.77222222 0.77222222 0.91944444 0.91944444
 0.92222222 0.92222222 0.95277778 0.95277778 0.95555556 0.95555556
 0.96666667 0.96666667 0.97222222 0.97222222 0.975      0.975
 0.97777778 0.97777778 0.98333333 0.98333333 0.98611111 0.98611111
 0.98888889 0.98888889 0.99166667 0.99166667 0.99444444 0.99444444
 1.         1.        ]","[0.         0.00320513 0.00641026 0.01923077 0.02564103 0.03846154
 0.04807692 0.09935897 0.10576923 0.11217949 0.12820513 0.13461538
 0.14102564 0.15384615 0.19230769 0.19871795 0.20192308 0.21474359
 0.23397436 0.24679487 0.26602564 0.27884615 0.28525641 0.29166667
 0.31730769 0.33653846 0.34294872 0.36217949 0.38461538 0.39423077
 0.41346154 0.43589744 0.57051282 0.57692308 0.58333333 0.58333333
 0.68269231 0.68269231 0.78205128 0.78205128 0.81410256 0.81410256
 0.86538462 0.86538462 0.87820513 0.87820513 0.8974359  0.8974359
 0.90384615 0.90384615 0.91987179 0.91987179 0.92628205 0.92628205
 0.92948718 0.92948718 0.93589744 0.93589744 0.93910256 0.93910256
 0.94551282 0.94551282 0.94871795 0.94871795 0.95192308 0.95192308
 0.95512821 0.95512821 0.95833333 0.95833333 0.96153846 0.96153846
 0.96794872 0.96794872 0.97115385 0.97115385 0.9775641  0.9775641
 0.98076923 0.98076923 0.98397436 0.98397436 0.98717949 0.98717949
 0.99038462 0.99038462 0.99358974 0.99358974 0.99679487 0.99679487
 1.         1.        ]",[0.         0.93910256 1.        ]
0.9927576429980276,0.9966119528619529,0.9857515614727154,0.8285256410256411
